experiment_id,row_id,status,duration,return_code,楠岃瘉搴忓彿,outlier_method,split_method,time_features,window_multiplier,transformer,model,max_outlier_ratio,group_size,test_size
exp_001,1,failed,0.514348,1,1,both,chronological,full,4,1,RandomForest,0.1,168,0.2
exp_002,2,failed,0.514348,1,2,both,random,full,4,1,RandomForest,0.1,168,0.2
exp_003,3,failed,0.510957,1,3,both,group,full,4,1,RandomForest,0.1,100,0.2
exp_004,4,failed,0.508955,1,4,both,random,full,4,1,RandomForest,0.01,168,0.2
exp_005,5,failed,0.542195,1,5,both,random,full,4,1,RandomForest,0.05,168,0.2
exp_006,6,failed,0.541194,1,6,both,random,full,4,1,RandomForest,0.1,168,0.2
exp_007,7,failed,0.518946,1,7,both,random,full,4,1,RandomForest,0.1,168,0.2
exp_008,8,failed,0.517948,1,8,both,random,none,4,1,RandomForest,0.1,168,0.2
exp_009,9,failed,0.514478,1,9,both,random,basic,4,1,RandomForest,0.1,168,0.2
exp_010,10,failed,0.514478,1,10,both,random,full,1,1,RandomForest,0.1,168,0.2
exp_011,11,failed,0.50876,1,11,both,random,full,4,1,RandomForest,0.1,168,0.2
exp_012,12,failed,0.506917,1,12,both,random,full,8,1,RandomForest,0.1,168,0.2
exp_013,13,failed,0.515349,1,13,both,random,full,1,1,RandomForest,0.1,168,0.2
exp_014,14,failed,0.514506,1,14,both,random,full,4,1,RandomForest,0.1,168,0.2
exp_015,15,failed,0.519569,1,15,both,random,full,8,1,RandomForest,0.1,168,0.2
exp_016,16,failed,0.520573,1,16,both,random,full,1,1,RandomForest,0.1,168,0.2
exp_017,17,failed,0.518908,1,17,both,random,full,4,1,RandomForest,0.1,168,0.2
exp_018,18,failed,0.518908,1,18,both,random,full,8,1,RandomForest,0.1,168,0.2
exp_019,19,failed,0.520143,1,19,both,random,full,1,2,RandomForest,0.1,168,0.2
exp_020,20,failed,0.525142,1,20,both,random,full,4,2,RandomForest,0.1,168,0.2
exp_021,21,failed,0.535018,1,21,both,random,full,8,2,RandomForest,0.1,168,0.2
exp_022,22,failed,0.530515,1,22,both,random,full,1,2,RandomForest,0.1,168,0.2
exp_023,23,failed,0.513716,1,23,both,random,full,4,2,RandomForest,0.1,168,0.2
exp_024,24,failed,0.513708,1,24,both,random,full,8,2,RandomForest,0.1,168,0.2
exp_025,25,failed,0.511485,1,25,both,random,full,1,2,RandomForest,0.1,168,0.2
exp_026,26,failed,0.50498,1,26,both,random,full,4,2,RandomForest,0.1,168,0.2
exp_027,27,failed,0.536152,1,27,both,random,full,8,2,RandomForest,0.1,168,0.2
exp_028,28,failed,0.530646,1,28,both,random,full,1,1,MLP,0.1,168,0.2
exp_029,29,failed,0.523407,1,29,both,random,full,4,1,MLP,0.1,168,0.2
exp_030,30,failed,0.521409,1,30,both,random,full,8,1,MLP,0.1,168,0.2
exp_031,31,failed,0.499465,1,31,both,random,full,1,1,MLP,0.1,168,0.2
exp_032,32,failed,0.498464,1,32,both,random,full,4,1,MLP,0.1,168,0.2
exp_033,33,failed,0.534424,1,33,both,random,full,8,1,MLP,0.1,168,0.2
exp_034,34,failed,0.534424,1,34,both,random,full,1,1,MLP,0.1,168,0.2
exp_035,35,failed,0.528917,1,35,both,random,full,4,1,MLP,0.1,168,0.2
exp_036,36,failed,0.525909,1,36,both,random,full,8,1,MLP,0.1,168,0.2
exp_037,37,failed,0.533423,1,37,both,random,full,1,2,MLP,0.1,168,0.2
exp_038,38,failed,0.535923,1,38,both,random,full,4,2,MLP,0.1,168,0.2
exp_039,39,failed,0.51246,1,39,both,random,full,8,2,MLP,0.1,168,0.2
exp_040,40,failed,0.507958,1,40,both,random,full,1,2,MLP,0.1,168,0.2
exp_041,41,failed,0.506439,1,41,both,random,full,4,2,MLP,0.1,168,0.2
exp_042,42,failed,0.512807,1,42,both,random,full,8,2,MLP,0.1,168,0.2
exp_043,43,failed,0.511946,1,43,both,random,full,1,2,MLP,0.1,168,0.2
exp_044,44,failed,0.506929,1,44,both,random,full,4,2,MLP,0.1,168,0.2
exp_045,45,failed,0.504574,1,45,both,random,full,8,2,MLP,0.1,168,0.2
