Transformer,Config,Lookback,Horizon_steps,Gap_steps,Model,RMSE,MAE,R2
1,1h,24,1,0,LinearRegression,16.990312576293945,4.484704971313477,-4.039328257288539
1,1h,24,1,0,Ridge,4.972678184509277,4.051393985748291,0.5683313461859952
1,1h,24,1,0,RandomForest,1.7954678491828662,1.2267262607952933,0.9437237578811367
1,1h,24,1,0,MLP,2.074784755706787,1.553386926651001,0.9248522616245698
1,1d,48,24,6,LinearRegression,49.51686096191406,5.672148704528809,-41.39813274336992
1,1d,48,24,6,Ridge,5.081451892852783,4.079107284545898,0.5535053856761797
1,1d,48,24,6,RandomForest,1.7353634753070373,1.1973033462725502,0.9479259358410714
1,1d,48,24,6,MLP,1.7339699268341064,1.2821496725082397,0.9480095336443581
1,1w,168,168,24,LinearRegression,142.62506103515625,13.7167329788208,-366.3203205039651
1,1w,168,168,24,Ridge,4.9416913986206055,3.9249629974365234,0.5590345738802529
1,1w,168,168,24,RandomForest,1.3226166367216508,0.9317625381262145,0.9684120631765364
1,1w,168,168,24,MLP,1.467130184173584,1.0948652029037476,0.9611321473039559
2,1h,24,1,0,LinearRegression,58.50327682495117,5.5327935218811035,-23.714901460171383
2,1h,24,1,0,Ridge,4.682013034820557,3.7217774391174316,0.8417062662820068
2,1h,24,1,0,RandomForest,2.4808083299806416,1.825154700812046,0.9555588858252143
2,1h,24,1,0,MLP,2.001570463180542,1.429134726524353,0.9710705429987369
2,1d,48,24,6,LinearRegression,57.79270553588867,6.287736415863037,-22.925593529643365
2,1d,48,24,6,Ridge,4.8120198249816895,3.8165202140808105,0.83412860669396
2,1d,48,24,6,RandomForest,2.632926975751208,1.9506287968002929,0.9503414231746603
2,1d,48,24,6,MLP,1.5440176725387573,1.106062889099121,0.9829226238303578
2,1w,168,168,24,LinearRegression,82.85042572021484,9.806778907775879,-48.43809500081844
2,1w,168,168,24,Ridge,5.074403762817383,4.004916191101074,0.8145434191776566
2,1w,168,168,24,RandomForest,2.532968201623504,1.8164531887568056,0.9537904573188957
2,1w,168,168,24,MLP,1.6890331506729126,1.2382034063339233,0.9794529947210773
